filename	subjectGroup	age	sex	Native.language.s.	mySegmentationCond	lang	response	correct_segm	underlying	surface	n.changes	closest_match_just_match	closest.match.length	closest.match.pos	stream	n.attested.sylls	closest_match
399612_200413_124305_1b43c188ba96d0824d8336762749993f55309c63.csv	2	37	male	English	continuous	L2	go la pee da rabi na ra be	1	pi	pi	0	pi	2	1	abc	1	pi
399612_200413_124305_1b43c188ba96d0824d8336762749993f55309c63.csv	2	37	male	English	continuous	L2	go la pee da rabi na ra be	1	da	da	0	da	2	1	bca	1	da
399612_200413_124305_1b43c188ba96d0824d8336762749993f55309c63.csv	2	37	male	English	continuous	L2	go la pee da rabi na ra be	1	robi	rabi	1	robi	4	1	cab	2	robi
399612_200413_124305_1b43c188ba96d0824d8336762749993f55309c63.csv	2	37	male	English	continuous	L2	go la pee da rabi na ra be	1	ro	ra	1	ro	2	1	abc	1	ro
399612_200413_124305_1b43c188ba96d0824d8336762749993f55309c63.csv	2	37	male	English	continuous	L2	go la pee da rabi na ra be	1	bi	bi	0	bi	2	1	abc	1	bi
399612_200413_124406_e9738555324ef5e5562ed91ad77dfb885b789447.csv	1	53	female	ENGLISH	continuous	L1	rappi coo baa co ba rab	0.5	ropi	rapi	1	ropi	4	1	abc	2	ropi
399612_200413_124406_e9738555324ef5e5562ed91ad77dfb885b789447.csv	1	53	female	ENGLISH	continuous	L1	rappi coo baa co ba rab	0.5	ku	ku	0	ku	2	1	abc	1	ku
399612_200413_124406_e9738555324ef5e5562ed91ad77dfb885b789447.csv	1	53	female	ENGLISH	continuous	L1	rappi coo baa co ba rab	0.5	go	ko	1	go	2	1	abc	1	go
399612_200413_124406_e9738555324ef5e5562ed91ad77dfb885b789447.csv	1	53	female	ENGLISH	continuous	L1	rappi coo baa co ba rab	0.5	pa	ba	1	pa	2	1	abc	1	pa
399612_200413_124444_70541de614a467291b21b11fb50b226a7db169f4.csv	2	29	female	English, French	continuous	L2	papi,kuti,buti	0.25	papi	papi	0	papi	4	1	cab	2	papi
399612_200413_124444_70541de614a467291b21b11fb50b226a7db169f4.csv	2	29	female	English, French	continuous	L2	papi,kuti,buti	0.25	kuti	kuti	0	kuti	4	1	abc	2	kuti
399612_200413_124444_70541de614a467291b21b11fb50b226a7db169f4.csv	2	29	female	English, French	continuous	L2	papi,kuti,buti	0.25	buti	buti	0	bu	2	1	abc	2	buti
399612_200413_124517_8a3d3726954ee01ee4875b6cedd0acdce71e3c12.csv	1	37	male	English	continuous	L1	roppy poppy tebu galla ralla dabu tobby	1	ropi	ropi	0	ropi	4	1	abc	2	ropi
399612_200413_124517_8a3d3726954ee01ee4875b6cedd0acdce71e3c12.csv	1	37	male	English	continuous	L1	roppy poppy tebu galla ralla dabu tobby	1	popi	popi	0	pi	2	2	abc	1	XXpi
399612_200413_124517_8a3d3726954ee01ee4875b6cedd0acdce71e3c12.csv	1	37	male	English	continuous	L1	roppy poppy tebu galla ralla dabu tobby	1	tibu	tibu	0	tibu	4	1	abc	2	tibu
399612_200413_124517_8a3d3726954ee01ee4875b6cedd0acdce71e3c12.csv	1	37	male	English	continuous	L1	roppy poppy tebu galla ralla dabu tobby	1	gola	gala	1	gola	4	1	abc	2	gola
399612_200413_124517_8a3d3726954ee01ee4875b6cedd0acdce71e3c12.csv	1	37	male	English	continuous	L1	roppy poppy tebu galla ralla dabu tobby	1	rola	rala	1	ro	2	1	bca	2	rola
399612_200413_124517_8a3d3726954ee01ee4875b6cedd0acdce71e3c12.csv	1	37	male	English	continuous	L1	roppy poppy tebu galla ralla dabu tobby	1	dabu	dabu	0	da	2	1	abc	2	dabu
399612_200413_124517_8a3d3726954ee01ee4875b6cedd0acdce71e3c12.csv	1	37	male	English	continuous	L1	roppy poppy tebu galla ralla dabu tobby	1	dobi	tobi	1	do	2	1	abc	2	dobi
399612_200413_124519_fc6e02ae25678c108ecc1d9b16b65b2910d8c437.csv	2	25	female	English	continuous	L2	tupa cutie walla	0.75	dopa	tupa	2	dopa	4	1	abc	2	dopa
399612_200413_124519_fc6e02ae25678c108ecc1d9b16b65b2910d8c437.csv	2	25	female	English	continuous	L2	tupa cutie walla	0.75	kuti	kuti	0	kuti	4	1	abc	2	kuti
399612_200413_124519_fc6e02ae25678c108ecc1d9b16b65b2910d8c437.csv	2	25	female	English	continuous	L2	tupa cutie walla	0.75	pala	vala	2	pa	2	1	abc	2	pala
399612_200413_124748_0c0ef5d35eba458e76703150a56338ca05ce6566.csv	1	34	male	English and Portuguese	continuous	L1	cu la pa boom te co ne cool too bi bop boo te la qua coo	0.75	ku	ku	0	ku	2	1	abc	1	ku
399612_200413_124748_0c0ef5d35eba458e76703150a56338ca05ce6566.csv	1	34	male	English and Portuguese	continuous	L1	cu la pa boom te co ne cool too bi bop boo te la qua coo	0.75	la	la	0	la	2	1	bca	1	la
399612_200413_124748_0c0ef5d35eba458e76703150a56338ca05ce6566.csv	1	34	male	English and Portuguese	continuous	L1	cu la pa boom te co ne cool too bi bop boo te la qua coo	0.75	pa	pa	0	pa	2	1	abc	1	pa
399612_200413_124748_0c0ef5d35eba458e76703150a56338ca05ce6566.csv	1	34	male	English and Portuguese	continuous	L1	cu la pa boom te co ne cool too bi bop boo te la qua coo	0.75	ti	ti	0	ti	2	1	abc	1	ti
399612_200413_124748_0c0ef5d35eba458e76703150a56338ca05ce6566.csv	1	34	male	English and Portuguese	continuous	L1	cu la pa boom te co ne cool too bi bop boo te la qua coo	0.75	go	ko	1	go	2	1	abc	1	go
399612_200413_124748_0c0ef5d35eba458e76703150a56338ca05ce6566.csv	1	34	male	English and Portuguese	continuous	L1	cu la pa boom te co ne cool too bi bop boo te la qua coo	0.75	tu	tu	0	tu	2	1	abc	1	tu
399612_200413_124748_0c0ef5d35eba458e76703150a56338ca05ce6566.csv	1	34	male	English and Portuguese	continuous	L1	cu la pa boom te co ne cool too bi bop boo te la qua coo	0.75	bi	bi	0	bi	2	1	bca	1	bi
399612_200413_124748_0c0ef5d35eba458e76703150a56338ca05ce6566.csv	1	34	male	English and Portuguese	continuous	L1	cu la pa boom te co ne cool too bi bop boo te la qua coo	0.75	bu	bu	0	bu	2	1	bca	1	bu
399612_200413_124853_d6fde7f2e6b909872f6d79eb8fe0a58b791b456e.csv	1	25	male	English, Chinyanja	continuous	L1	dogora pitibo,dodora pitabo pitibo,digora pa	0	dogoro	dogora	1	dogo	4	1	cab	3	dogoro
399612_200413_124853_d6fde7f2e6b909872f6d79eb8fe0a58b791b456e.csv	1	25	male	English, Chinyanja	continuous	L1	dogora pitibo,dodora pitabo pitibo,digora pa	0	pitibo	pitibo	0	piti	4	1	cab	2	pitiXX
399612_200413_124853_d6fde7f2e6b909872f6d79eb8fe0a58b791b456e.csv	1	25	male	English, Chinyanja	continuous	L1	dogora pitibo,dodora pitabo pitibo,digora pa	0	doro	dora	1	do	2	1	abc	2	doro
